id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
329,2121116250,1984,0,0,0
330,2121115850,1984,0.0153,0.0081,0.0666
331,2121115510,1984,0.1827,0.0405,1.62
332,2121114820,1984,0.0099,0.0009,0
333,2121114710,1984,0,0,0
334,2121114780,1984,0.1476,0.243,1.7964
335,2120049720,1984,0.0954,0.0126,0.4491
336,2120049730,1984,0.1656,0.0558,0.5931
337,2120049740,1984,0.0072,0,0
338,2120049750,1984,0.126,0.0063,0.0234
339,2120049760,1984,0.1899,0.0612,0.5913
340,2120049770,1984,0.0513,0.0801,1.0809
341,2120049780,1984,0.0405,0.0279,0.1602
342,2120389070,1984,0.0189,0.0099,0.1395
343,2120388910,1984,0,0.0009,0
344,2120387700,1984,0.5868,0.207,2.772
345,2120387530,1984,0.0495,0.0342,0.0684
346,2120049790,1984,0.0018,0.0063,0.2016
347,2120049800,1984,0.0531,0.0189,0.288
348,2120049810,1984,0.1476,0.1359,1.2816
349,2120049820,1984,0.1593,0.0297,0.0081
350,2120049830,1984,0.0126,0.0153,0.0018
351,2120049840,1984,0.0045,0,0
352,2120391880,1984,0,0,0
353,2120392160,1984,0.171,0,0
354,2120049850,1984,0.7542,0.135,2.0772
355,2120049860,1984,0.1935,0.1089,0.5733
356,2120049870,1984,0.0072,0.0009,0.0036
357,2120049880,1984,0.3069,0.0441,0.0279
358,2121116940,1984,0.0891,0.0342,0.4401
359,2120049890,1984,0.1449,0.1881,1.2159
360,2120049900,1984,0.1341,0.0486,0.1485
361,2121116690,1984,0.036,0,0
362,2120049910,1984,0.4392,0.0819,0.1323
363,2120049920,1984,0.054,0.0252,0.2322
364,2121117170,1984,0.2556,0.0126,0.0009
365,2120049930,1984,0.4338,0.0801,0.2286
366,2120049940,1984,0.0333,0.0009,0.0027
367,2120049950,1984,0.0171,0.0018,0.0018
368,2120381730,1984,0,0,0
369,2120381660,1984,0.0036,0.0018,0
370,2120381880,1984,0.0324,0.009,0.0315
371,2120381740,1984,0.0243,0.0045,0.0378
372,2120380040,1984,0.0045,0,0.0828
373,2120379950,1984,0.0018,0,0
374,2121114260,1984,0.0045,0,0.0063
375,2120378560,1984,0,0,0
376,2120378440,1984,0.2484,0.1224,2.3229
377,2120049960,1984,0.0081,0.0027,0.0063
378,2120049970,1984,0.0063,0,0.0009
379,2120383200,1984,0.0054,0,0
380,2120383130,1984,0,0,0
381,2120049980,1984,0.8253,0.4275,0.4923
382,2120049990,1984,0.027,0.0036,0.0018
383,2120384620,1984,0.0522,0.0036,0
384,2120384630,1984,0.1647,0.027,0.8829
385,2121115840,1984,0.0018,0.0054,0.0459
386,2120050000,1984,0.171,0.4608,0.5976
387,2120050010,1984,0.1377,0.1377,0.1557
388,2120050020,1984,0,0,0
389,2120050030,1984,0.1197,0.0216,0.0648
390,2120050040,1984,0.0072,0,0
391,2121113850,1984,0,0,0
392,2121113860,1984,0,0,0
393,2121113910,1984,0,0.0018,0
394,2121113650,1984,0.0387,0.0063,0.0558
395,2121113070,1984,0.0432,0,0.0108
396,2121112050,1984,0.1656,0.0081,0.513
397,2120050050,1984,0.0144,0,0
398,2120050060,1984,0.2016,0.0513,0.0828
399,2120050070,1984,0.0117,0.0117,0.0081
400,2120050080,1984,0.1053,0.0108,0.0288
401,2120050090,1984,0.0297,0.0504,0.0585
402,2120050100,1984,0.0009,0.0009,0.0045
403,2120050110,1984,0.4581,0.0423,1.1691
404,2120050120,1984,0.6057,0.3951,0.5526
405,2120050130,1984,0.0378,0,0
406,2121108320,1984,0.0216,0.0063,0.3024
407,2120360920,1984,0.027,0.0072,0.1107
408,2120361170,1984,0.0054,0.0018,0.0819
409,2120050140,1984,0.1206,0,0.0081
410,2120050150,1984,0.0324,0.0243,0.6246
411,2120050160,1984,0.0648,0.0504,0.081
412,2120050170,1984,0.027,0.0063,0.0666
413,2120357840,1984,0.0108,0,0
414,2120357740,1984,0.0126,0,0.0279
415,2120050180,1984,0.1935,0.3969,0.8136
416,2120050190,1984,0.5229,0.396,7.9038
417,2120050200,1984,0.18,0.0153,0.0081
418,2120050210,1984,0.18,0.0612,1.6902
419,2120050220,1984,0.1035,0.0495,0.0396
420,2120050230,1984,0.1107,0.0045,0.3726
421,2120050240,1984,0.3456,0.3321,0.3087
